,pm10,pm25,so2,co,o3,no2,categori
430,42.0,60.0,20.0,24.0,57.0,9.0,SEDANG
431,30.0,56.0,21.0,15.0,51.0,10.0,SEDANG
432,40.0,64.0,22.0,17.0,53.0,13.0,SEDANG
433,35.0,61.0,21.0,18.0,57.0,16.0,SEDANG
434,32.0,45.0,23.0,16.0,43.0,9.0,BAIK
435,21.0,33.0,23.0,14.0,46.0,9.0,BAIK
436,26.0,39.0,23.0,12.0,45.0,7.0,BAIK
437,18.0,39.0,27.0,12.0,41.0,7.0,BAIK
438,21.0,50.0,23.0,14.0,34.0,6.0,BAIK
439,23.0,54.0,22.0,15.0,22.0,5.0,SEDANG
440,40.0,65.0,27.0,16.0,31.0,7.0,SEDANG
441,31.0,43.0,21.0,17.0,55.0,14.0,SEDANG
442,59.0,108.0,23.0,39.0,59.0,19.0,TIDAK SEHAT
443,54.0,83.0,25.0,19.0,74.0,16.0,SEDANG
444,42.0,64.0,30.0,18.0,65.0,15.0,SEDANG
445,51.0,81.0,25.0,23.0,58.0,22.0,SEDANG
446,56.0,86.0,24.0,23.0,59.0,25.0,SEDANG
447,63.0,109.0,27.0,26.0,61.0,22.0,TIDAK SEHAT
448,65.0,104.0,27.0,24.0,70.0,26.0,TIDAK SEHAT
449,60.0,87.0,24.0,25.0,68.0,21.0,SEDANG
450,57.0,94.0,22.0,28.0,79.0,22.0,SEDANG
451,52.0,78.0,23.0,22.0,61.0,20.0,SEDANG
452,52.0,78.0,25.0,21.0,70.0,20.0,SEDANG
453,49.0,75.0,23.0,22.0,83.0,22.0,SEDANG
454,47.0,70.0,30.0,14.0,45.0,13.0,SEDANG
455,51.0,75.0,23.0,26.0,59.0,17.0,SEDANG
456,49.0,72.0,23.0,20.0,68.0,15.0,SEDANG
457,44.0,66.0,24.0,17.0,72.0,12.0,SEDANG
458,47.0,75.0,24.0,18.0,73.0,17.0,SEDANG
459,47.0,63.0,15.0,19.0,26.0,34.0,SEDANG
460,54.0,75.0,14.0,18.0,27.0,30.0,SEDANG
461,58.0,85.0,13.0,24.0,30.0,43.0,SEDANG
462,62.0,87.0,14.0,24.0,25.0,50.0,SEDANG
463,60.0,88.0,14.0,27.0,22.0,47.0,SEDANG
464,59.0,82.0,15.0,18.0,26.0,38.0,SEDANG
465,64.0,92.0,16.0,20.0,23.0,42.0,SEDANG
466,63.0,87.0,19.0,18.0,20.0,47.0,SEDANG
467,62.0,93.0,16.0,18.0,22.0,44.0,SEDANG
468,56.0,84.0,19.0,12.0,30.0,27.0,SEDANG
469,52.0,74.0,18.0,11.0,28.0,27.0,SEDANG
470,53.0,75.0,18.0,10.0,28.0,27.0,SEDANG
471,52.0,64.0,16.0,8.0,25.0,25.0,SEDANG
472,61.0,85.0,18.0,10.0,28.0,39.0,SEDANG
473,62.0,78.0,14.0,20.0,26.0,40.0,SEDANG
474,65.0,98.0,19.0,17.0,28.0,40.0,SEDANG
475,64.0,86.0,17.0,17.0,21.0,39.0,SEDANG
476,67.0,97.0,18.0,20.0,18.0,48.0,SEDANG
477,63.0,92.0,15.0,17.0,25.0,36.0,SEDANG
478,65.0,91.0,17.0,15.0,26.0,32.0,SEDANG
479,62.0,97.0,25.0,14.0,23.0,45.0,SEDANG
480,65.0,92.0,20.0,12.0,24.0,37.0,SEDANG
481,59.0,78.0,20.0,11.0,22.0,32.0,SEDANG
482,60.0,74.0,16.0,13.0,19.0,30.0,SEDANG
483,39.0,53.0,12.0,15.0,16.0,30.0,SEDANG
484,61.0,82.0,26.0,21.0,19.0,38.0,SEDANG
485,64.0,92.0,22.0,15.0,25.0,39.0,SEDANG
486,67.0,100.0,18.0,14.0,29.0,42.0,SEDANG
487,64.0,86.0,19.0,10.0,32.0,36.0,SEDANG
488,59.0,85.0,19.0,8.0,29.0,38.0,SEDANG
489,70.0,101.0,17.0,10.0,27.0,44.0,TIDAK SEHAT
490,51.0,66.0,55.0,6.0,24.0,13.0,SEDANG
491,60.0,79.0,55.0,7.0,24.0,11.0,SEDANG
492,59.0,83.0,55.0,8.0,32.0,14.0,SEDANG
493,65.0,89.0,55.0,12.0,22.0,24.0,SEDANG
494,64.0,94.0,56.0,18.0,20.0,43.0,SEDANG
495,69.0,90.0,55.0,10.0,25.0,19.0,SEDANG
496,72.0,97.0,55.0,12.0,21.0,27.0,SEDANG
497,58.0,70.0,56.0,9.0,19.0,32.0,SEDANG
498,49.0,62.0,56.0,9.0,16.0,39.0,SEDANG
499,47.0,57.0,55.0,7.0,12.0,40.0,SEDANG
500,28.0,39.0,56.0,4.0,16.0,15.0,SEDANG
501,23.0,30.0,54.0,5.0,18.0,22.0,SEDANG
502,59.0,71.0,55.0,14.0,11.0,68.0,SEDANG
503,51.0,62.0,57.0,9.0,11.0,54.0,SEDANG
504,32.0,35.0,54.0,9.0,13.0,36.0,SEDANG
505,52.0,71.0,48.0,16.0,16.0,21.0,SEDANG
506,39.0,53.0,47.0,12.0,10.0,33.0,SEDANG
507,33.0,45.0,48.0,9.0,9.0,33.0,BAIK
508,31.0,49.0,48.0,5.0,7.0,17.0,BAIK
509,52.0,74.0,49.0,14.0,12.0,40.0,SEDANG
510,61.0,74.0,50.0,16.0,9.0,37.0,SEDANG
511,35.0,52.0,48.0,9.0,9.0,28.0,SEDANG
512,56.0,75.0,50.0,22.0,8.0,80.0,SEDANG
513,49.0,67.0,54.0,9.0,16.0,17.0,SEDANG
514,52.0,63.0,51.0,7.0,21.0,8.0,SEDANG
515,50.0,68.0,50.0,19.0,14.0,52.0,SEDANG
516,50.0,64.0,50.0,12.0,15.0,19.0,SEDANG
517,57.0,72.0,52.0,14.0,18.0,187.0,TIDAK SEHAT
518,43.0,55.0,51.0,10.0,20.0,202.0,TIDAK SEHAT
519,41.0,63.0,51.0,13.0,16.0,29.381622302223136,SEDANG
520,64.0,87.0,53.0,19.0,12.0,22.0,SEDANG
521,53.0,70.0,52.0,16.0,10.0,12.0,SEDANG
522,47.0,63.0,50.0,14.0,15.0,8.0,SEDANG
523,50.0,67.0,49.0,17.0,19.0,12.0,SEDANG
524,65.0,93.0,50.0,15.0,21.0,13.0,SEDANG
525,58.0,79.0,49.0,14.0,20.0,17.0,SEDANG
526,59.0,71.0,48.0,12.0,8.0,17.0,SEDANG
527,44.0,59.0,49.0,7.0,15.0,14.0,SEDANG
528,44.0,62.0,49.0,6.0,13.0,29.0,SEDANG
529,37.0,50.0,50.0,7.0,9.0,16.0,BAIK
530,41.0,56.0,49.0,10.0,12.0,29.0,SEDANG
531,64.0,88.0,50.0,20.0,14.0,19.0,SEDANG
532,47.0,62.0,50.0,10.0,11.0,21.0,SEDANG
533,54.0,13.0,50.0,12.0,12.0,41.0,SEDANG
534,68.0,90.0,25.0,15.0,18.0,14.0,SEDANG
535,50.0,59.0,24.0,10.0,12.0,9.0,SEDANG
536,38.80169133399197,56.0,25.0,7.0,11.0,10.0,SEDANG
537,52.0,72.0,49.0,17.0,18.0,37.0,SEDANG
538,50.0,62.0,49.0,12.0,19.0,26.0,SEDANG
539,33.0,51.0,48.0,10.0,20.0,22.0,SEDANG
540,24.0,38.0,46.0,9.0,16.0,14.0,BAIK
541,38.0,67.0,47.0,13.0,18.0,28.0,SEDANG
542,47.0,61.0,47.0,9.0,18.0,32.0,SEDANG
543,32.0,49.0,49.0,8.0,15.0,22.0,BAIK
544,42.0,60.0,47.0,6.0,15.0,20.0,SEDANG
545,51.0,72.0,51.0,6.0,21.0,31.0,SEDANG
546,46.0,57.0,51.0,7.0,28.0,20.0,SEDANG
547,39.0,57.0,50.0,9.0,23.0,23.0,SEDANG
548,33.0,54.0,50.0,7.0,25.0,23.0,SEDANG
549,39.0,52.0,51.0,7.0,26.0,28.0,SEDANG
550,25.0,38.0,52.0,8.0,26.0,24.0,SEDANG
551,35.0,55.0,31.305655768490972,18.0,22.0,29.0,SEDANG
552,57.0,73.0,20.0,28.0,20.0,40.0,SEDANG
553,36.0,50.0,16.0,21.0,23.0,23.0,BAIK
554,38.0,55.0,15.0,20.0,24.0,26.0,SEDANG
555,46.0,66.0,16.0,24.0,14.0,39.0,SEDANG
556,42.0,61.0,16.0,21.0,21.0,31.0,SEDANG
557,52.0,73.0,20.0,32.0,24.0,37.0,SEDANG
558,56.0,73.0,19.0,22.0,23.0,35.0,SEDANG
559,38.0,56.0,16.0,20.0,23.0,29.0,SEDANG
560,38.0,57.0,20.0,20.0,12.0,19.0,SEDANG
561,26.0,37.0,20.0,16.0,22.0,19.0,BAIK
562,25.0,42.0,13.0,17.0,18.0,24.0,BAIK
563,44.0,63.0,14.0,25.0,16.0,32.0,SEDANG
564,43.0,59.0,14.0,21.0,13.0,31.0,SEDANG
565,33.0,44.0,13.0,22.0,14.0,29.0,BAIK
566,55.0,76.75324186290939,54.0,15.0,25.0,49.0,SEDANG
567,48.0,62.0,55.0,15.0,16.0,57.0,SEDANG
568,36.0,53.0,55.0,9.0,13.0,43.0,SEDANG
569,27.0,43.0,54.0,7.0,12.0,21.0,SEDANG
570,53.0,71.0,56.0,13.0,17.0,40.0,SEDANG
571,44.0,55.0,54.0,10.0,13.0,37.0,SEDANG
572,37.0,53.0,56.0,11.0,10.0,48.0,SEDANG
573,59.0,73.0,56.0,13.0,14.0,56.0,SEDANG
574,58.0,79.0,58.0,9.0,24.0,28.0,SEDANG
575,47.0,57.0,55.0,5.0,21.0,20.0,SEDANG
576,33.0,53.0,54.0,7.0,17.0,20.0,SEDANG
577,34.0,52.0,55.0,7.0,18.0,22.0,SEDANG
578,42.0,54.0,54.0,6.0,18.0,29.0,SEDANG
579,24.0,40.0,54.0,6.0,20.0,31.0,SEDANG
580,43.0,60.0,55.0,10.0,14.0,46.0,SEDANG
581,67.0,83.0,56.0,21.0,12.0,80.0,SEDANG
582,29.0,32.0,54.0,5.0,16.0,28.0,SEDANG
583,44.0,64.0,54.0,8.0,17.0,35.0,SEDANG
584,52.0,70.0,55.0,9.0,16.0,37.0,SEDANG
585,55.0,81.0,56.0,13.0,24.0,36.0,SEDANG
586,32.0,45.0,25.0,4.0,7.0,4.0,BAIK
587,54.0,77.0,25.0,10.0,6.0,5.0,SEDANG
588,64.0,74.0,25.0,15.0,6.0,7.0,SEDANG
589,40.0,58.0,25.0,6.0,4.0,6.0,SEDANG
590,64.0,90.0,25.0,10.0,4.0,4.0,SEDANG
591,67.0,86.0,26.0,17.852071858723228,7.0,5.0,SEDANG
592,57.0,74.0,25.0,16.206244516220604,8.0,5.0,SEDANG
593,63.0,85.0,25.0,9.0,6.0,6.0,SEDANG
594,61.0,80.0,25.0,4.0,5.0,6.0,SEDANG
595,53.0,67.0,25.0,7.0,8.0,6.0,SEDANG
596,49.0,62.0,25.0,16.0,8.0,6.0,SEDANG
597,53.0,76.0,25.0,24.0,7.0,8.0,SEDANG
598,81.0,103.0,25.0,24.0,6.0,11.0,TIDAK SEHAT
599,59.0,74.0,25.0,22.0,6.0,8.0,SEDANG
600,57.0,71.0,25.0,21.0,7.0,6.0,SEDANG
601,68.0,91.0,26.0,23.0,6.0,9.0,SEDANG
602,71.0,94.0,25.0,22.0,7.0,9.0,SEDANG
603,70.0,102.0,25.0,24.0,9.0,8.0,TIDAK SEHAT
604,70.0,86.0,25.0,21.0,8.0,9.0,SEDANG
605,46.0,61.0,25.0,20.0,7.0,6.0,SEDANG
606,54.0,67.0,25.0,18.0,6.0,2.0,SEDANG
607,37.0,52.0,25.0,15.0,8.0,3.0,SEDANG
608,36.0,52.0,25.0,18.0,7.0,4.0,SEDANG
609,70.0,96.0,26.0,28.0,5.0,7.0,SEDANG
610,57.0,59.0,25.0,22.0,6.0,6.0,SEDANG
611,51.0,82.0,34.0,17.0,33.0,22.0,SEDANG
612,47.0,68.0,26.0,18.0,28.0,9.0,SEDANG
613,24.0,48.0,25.0,12.0,29.0,10.0,BAIK
614,17.0,24.0,23.0,7.0,27.0,4.0,BAIK
615,35.0,68.0,24.0,15.0,32.0,12.0,SEDANG
616,59.0,74.0,25.0,16.0,38.0,14.0,SEDANG
617,31.0,52.0,27.0,11.0,25.0,8.0,SEDANG
618,40.0,66.0,25.0,11.0,28.0,8.0,SEDANG
619,45.0,77.0,37.0,12.0,41.0,18.0,SEDANG
620,33.0,60.0,28.0,6.0,46.0,11.0,SEDANG
621,46.0,69.0,26.0,14.0,31.0,13.0,SEDANG
622,30.0,54.0,24.0,11.0,37.0,12.0,SEDANG
623,31.0,54.0,22.0,9.0,39.0,12.0,SEDANG
624,24.75928086884569,37.0,21.0,9.0,45.0,11.0,BAIK
625,32.0,58.0,24.0,11.0,38.0,15.0,SEDANG
626,53.0,78.0,23.0,18.0,39.0,26.0,SEDANG
627,43.0,67.0,22.0,12.0,32.0,18.0,SEDANG
628,31.0,57.0,23.0,11.0,35.0,16.0,SEDANG
629,49.0,81.0,22.0,19.0,31.0,23.0,SEDANG
630,40.0,69.0,22.0,10.0,36.0,13.0,SEDANG
631,55.0,94.0,20.0,12.0,115.0,18.0,TIDAK SEHAT
632,53.0,76.0,21.0,8.0,72.0,14.0,SEDANG
633,29.0,58.0,19.0,7.0,59.0,10.0,SEDANG
634,28.0,53.0,24.0,9.0,59.0,8.0,SEDANG
635,25.0,50.0,30.0,14.0,35.0,9.0,BAIK
636,24.0,41.0,23.0,17.0,45.0,14.0,BAIK
637,54.0,78.0,21.0,27.0,46.0,13.0,SEDANG
638,33.0,60.0,22.0,20.0,48.0,18.0,SEDANG
639,36.0,57.0,21.0,21.0,54.0,16.0,SEDANG
640,54.0,72.0,12.0,22.0,27.0,32.0,SEDANG
641,52.0,70.0,10.0,22.0,35.0,36.0,SEDANG
642,55.0,79.0,10.0,28.0,23.0,44.0,SEDANG
643,58.0,83.0,11.0,24.0,35.0,35.0,SEDANG
644,52.0,71.0,12.0,24.0,18.0,33.0,SEDANG
645,56.0,86.0,14.0,26.0,20.0,40.0,SEDANG
646,54.0,79.0,12.0,22.0,25.0,26.0,SEDANG
647,54.0,84.0,13.0,22.0,21.0,26.0,SEDANG
648,48.0,65.0,12.0,22.0,21.0,26.0,SEDANG
649,51.0,70.0,10.0,33.0,19.0,43.0,SEDANG
650,39.0,58.0,12.0,23.0,26.0,33.0,SEDANG
651,64.0,89.0,15.0,27.0,41.0,39.0,SEDANG
652,53.0,74.0,10.0,29.0,36.0,44.0,SEDANG
653,57.0,85.0,11.0,25.0,42.0,41.0,SEDANG
654,60.0,86.0,12.0,27.0,38.0,35.0,SEDANG
655,60.0,86.0,12.0,24.0,38.0,33.0,SEDANG
656,55.0,79.0,14.0,24.0,40.0,37.0,SEDANG
657,52.0,76.0,16.0,24.0,36.0,34.0,SEDANG
658,61.0,83.0,15.0,27.0,37.0,46.0,SEDANG
659,59.0,88.0,15.0,24.0,34.0,45.0,SEDANG
660,61.0,94.0,14.0,25.0,36.0,39.0,SEDANG
661,66.0,101.0,15.0,23.0,35.0,33.0,TIDAK SEHAT
662,59.0,87.0,15.0,24.0,25.0,37.0,SEDANG
663,56.0,74.0,15.0,24.0,33.0,31.0,SEDANG
664,62.0,89.0,10.0,33.0,25.0,51.0,SEDANG
665,57.0,71.0,10.0,29.0,22.0,48.0,SEDANG
666,51.0,70.0,10.0,27.0,25.0,41.0,SEDANG
667,56.0,85.0,13.0,28.0,24.0,37.0,SEDANG
668,60.0,89.0,12.0,32.0,20.0,39.0,SEDANG
669,51.0,70.0,13.0,25.0,15.0,40.0,SEDANG
670,57.0,74.0,58.0,7.0,32.0,11.0,SEDANG
671,47.81217482987992,73.0,58.0,7.0,35.0,6.0,SEDANG
672,55.0,100.0,58.0,12.0,31.0,36.0,SEDANG
673,56.0,89.0,58.0,9.0,34.0,17.0,SEDANG
674,52.0,74.0,58.0,8.0,28.0,14.0,SEDANG
675,61.0,82.0,59.0,10.0,25.0,26.0,SEDANG
676,60.0,81.0,58.0,8.0,28.0,11.0,SEDANG
677,57.0,76.0,58.0,9.0,26.0,13.0,SEDANG
678,55.0,72.0,59.0,8.0,24.0,14.0,SEDANG
679,61.0,79.0,60.0,15.0,15.0,44.0,SEDANG
680,47.0,63.0,59.0,9.0,18.0,25.0,SEDANG
681,58.0,83.0,59.0,10.0,33.0,21.0,SEDANG
682,56.0,75.0,58.0,12.0,30.0,30.0,SEDANG
683,63.0,85.0,59.0,13.0,30.0,36.0,SEDANG
684,63.0,82.0,58.0,11.0,28.0,21.0,SEDANG
685,62.0,83.0,58.0,11.0,31.0,20.0,SEDANG
686,53.0,77.0,62.0,8.0,35.0,40.0,SEDANG
687,42.0,66.0,61.0,7.0,34.0,36.0,SEDANG
688,52.0,75.0,61.0,7.0,38.0,38.0,SEDANG
689,56.0,84.0,62.0,9.0,36.0,53.0,SEDANG
690,59.0,86.0,61.0,10.0,40.0,52.0,SEDANG
691,62.0,98.0,61.0,10.0,32.0,51.0,SEDANG
692,54.0,84.0,61.0,11.0,25.0,51.0,SEDANG
693,53.0,74.0,61.0,11.0,20.0,50.0,SEDANG
694,56.0,81.0,61.0,13.0,26.0,57.0,SEDANG
695,40.0,61.0,61.0,15.0,21.0,68.0,SEDANG
696,48.0,66.0,61.0,13.0,21.0,65.0,SEDANG
697,52.0,81.0,62.0,12.0,21.0,54.0,SEDANG
698,51.0,12.0,61.0,10.0,22.0,50.0,SEDANG
699,44.0,13.0,61.0,9.0,22.0,43.0,SEDANG
700,65.0,81.0,53.0,21.0,44.0,18.0,SEDANG
701,66.0,74.0,53.0,21.0,39.0,23.0,SEDANG
702,65.0,79.0,53.0,19.0,43.0,16.0,SEDANG
703,118.0,69.0,53.0,16.0,31.0,13.0,TIDAK SEHAT
704,82.0,76.0,53.0,21.0,34.0,19.0,SEDANG
705,162.0,97.0,53.0,17.0,39.0,15.0,TIDAK SEHAT
706,70.0,83.0,53.0,17.0,31.0,12.0,SEDANG
707,57.0,63.0,53.0,17.0,34.0,12.0,SEDANG
708,57.0,58.0,53.0,39.0,23.0,23.0,SEDANG
709,50.0,46.0,53.0,19.0,24.0,17.0,SEDANG
710,57.0,65.0,53.0,23.0,38.0,17.0,SEDANG
711,54.0,54.0,53.0,22.0,34.0,21.0,SEDANG
712,59.0,60.0,53.0,21.0,34.0,23.0,SEDANG
713,65.0,69.0,53.0,21.0,42.0,16.0,SEDANG
714,62.0,69.0,53.0,22.0,37.0,18.0,SEDANG
715,63.0,67.0,53.0,21.0,47.0,26.67112911425788,SEDANG
716,57.0,60.0,54.0,18.0,42.0,25.0,SEDANG
717,60.0,64.0,54.0,20.0,52.0,29.0,SEDANG
718,64.0,69.0,54.0,20.0,49.0,25.0,SEDANG
719,61.0,69.0,54.0,20.0,54.0,26.0,SEDANG
720,76.0,75.0,55.0,22.0,45.0,23.0,SEDANG
721,68.0,63.0,54.0,20.0,35.0,20.0,SEDANG
722,60.0,54.0,54.0,19.0,31.0,18.0,SEDANG
723,68.0,63.0,54.0,31.0,34.0,28.0,SEDANG
724,52.0,53.0,54.0,27.0,30.0,27.0,SEDANG
725,56.0,51.0,53.0,23.0,33.0,24.0,SEDANG
726,62.0,62.0,54.0,22.0,34.0,20.0,SEDANG
727,90.0,104.0,54.0,27.0,31.0,24.0,TIDAK SEHAT
728,51.0,58.0,54.0,20.0,30.0,21.0,SEDANG
729,49.0,93.0,34.0,20.0,46.0,12.0,SEDANG
730,37.0,85.0,34.0,17.0,67.0,12.0,SEDANG
731,45.0,89.0,32.0,20.0,43.0,17.0,SEDANG
732,40.0,84.0,34.0,18.0,41.0,13.0,SEDANG
733,37.0,81.0,35.0,18.0,43.0,12.0,SEDANG
734,26.0,86.0,36.0,20.0,40.0,17.0,SEDANG
735,65.0,89.0,55.0,8.0,24.0,18.0,SEDANG
736,72.0,103.0,55.0,11.0,24.0,19.0,TIDAK SEHAT
737,68.0,103.0,55.0,8.0,23.0,13.0,TIDAK SEHAT
738,64.0,92.0,54.0,7.0,24.0,16.0,SEDANG
739,65.0,89.0,54.0,8.0,21.0,16.0,SEDANG
740,60.0,81.0,54.0,8.0,21.0,20.0,SEDANG
741,68.0,99.0,55.0,9.0,27.0,15.0,SEDANG
742,64.0,78.0,55.0,9.0,19.0,17.0,SEDANG
743,77.0,115.0,56.0,8.0,20.0,12.0,TIDAK SEHAT
744,72.0,102.0,56.0,12.0,20.0,20.0,TIDAK SEHAT
745,75.0,110.0,56.0,17.0,21.0,29.0,TIDAK SEHAT
746,67.0,95.0,56.0,14.0,22.0,19.0,SEDANG
747,71.0,99.0,56.0,12.0,24.0,12.0,SEDANG
748,77.0,106.0,57.0,12.0,25.0,16.0,TIDAK SEHAT
749,80.0,106.0,56.0,11.0,24.0,12.0,TIDAK SEHAT
750,71.0,91.0,56.0,10.0,19.0,19.0,SEDANG
751,60.0,81.0,56.0,11.0,16.0,20.0,SEDANG
752,35.0,55.0,55.0,10.0,14.0,15.0,SEDANG
753,59.0,78.0,56.0,17.0,16.0,34.0,SEDANG
754,70.0,97.0,56.0,12.0,24.0,15.0,SEDANG
755,79.0,106.0,56.0,12.0,22.0,18.0,TIDAK SEHAT
756,67.0,91.0,56.0,9.0,21.0,16.0,SEDANG
757,66.0,98.0,57.0,10.0,20.0,15.0,SEDANG
758,74.0,107.0,56.0,11.0,24.0,13.0,TIDAK SEHAT
759,45.0,62.0,54.0,8.0,13.0,20.0,SEDANG
760,58.0,77.0,54.0,11.0,15.0,24.0,SEDANG
761,61.0,76.0,54.0,11.0,17.0,25.0,SEDANG
762,52.0,73.0,55.0,12.0,19.0,29.0,SEDANG
763,56.70827682541038,73.0,55.0,19.0,17.0,67.0,SEDANG
764,53.31124107929637,72.0,55.0,13.0,16.0,50.0,SEDANG
765,64.0,84.0,55.0,12.0,17.0,34.0,SEDANG
766,71.0,94.0,55.0,13.0,19.0,32.0,SEDANG
767,67.0,90.0,56.0,13.0,15.0,39.0,SEDANG
768,63.0,80.0,55.0,9.0,15.0,31.0,SEDANG
769,63.0,75.0,55.0,8.0,13.0,27.0,SEDANG
770,64.0,74.0,55.0,14.0,11.0,38.0,SEDANG
771,52.0,67.0,55.0,8.0,14.0,22.0,SEDANG
772,63.0,73.0,55.0,13.0,11.0,28.0,SEDANG
773,67.0,74.0,55.0,17.0,10.0,45.0,SEDANG
774,69.0,85.0,55.0,10.0,15.0,20.0,SEDANG
775,56.0,71.0,55.0,10.0,18.0,29.0,SEDANG
776,60.0,72.0,55.0,11.0,16.0,38.0,SEDANG
777,57.0,72.0,56.0,11.0,18.0,36.0,SEDANG
778,69.0,84.0,56.0,15.0,15.0,41.0,SEDANG
779,67.0,80.0,56.0,14.0,16.0,42.0,SEDANG
780,68.0,81.0,56.0,10.0,16.0,37.0,SEDANG
781,64.0,72.0,56.0,10.0,13.0,39.0,SEDANG
782,65.0,70.0,56.0,13.0,12.0,44.0,SEDANG
783,27.0,34.0,55.0,7.0,12.0,38.0,SEDANG
784,61.0,70.0,56.0,15.0,12.0,65.0,SEDANG
785,59.0,73.0,56.0,13.0,16.0,39.0,SEDANG
786,70.0,82.0,55.0,20.0,14.0,36.0,SEDANG
787,61.0,19.0,55.0,11.0,12.0,37.0,SEDANG
788,61.0,19.0,55.0,12.0,14.0,38.0,SEDANG
789,69.0,17.0,13.0,13.0,16.0,22.0,SEDANG
790,56.0,68.73405357120203,29.0,14.0,16.0,6.0,SEDANG
791,64.0,88.0,29.0,15.0,19.0,9.0,SEDANG
792,68.0,90.0,30.0,23.0,15.0,8.0,SEDANG
793,79.0,107.0,30.0,32.0,15.0,13.0,TIDAK SEHAT
794,71.0,97.0,30.0,19.0,17.0,10.0,SEDANG
795,78.0,107.0,30.0,22.0,16.0,12.0,TIDAK SEHAT
796,76.0,101.0,30.0,17.0,18.0,10.0,TIDAK SEHAT
797,85.0,111.0,30.0,18.0,13.0,13.0,TIDAK SEHAT
798,74.0,96.0,30.0,13.0,15.0,7.0,SEDANG
799,75.0,92.0,30.0,12.0,13.0,7.0,SEDANG
800,67.0,85.0,30.0,13.0,11.0,6.0,SEDANG
801,62.0,82.0,30.0,15.0,14.0,6.0,SEDANG
802,69.0,94.0,30.0,15.0,14.0,10.0,SEDANG
803,75.0,98.0,30.0,12.0,12.0,8.0,SEDANG
804,82.0,111.0,30.0,13.0,20.0,8.0,TIDAK SEHAT
805,74.0,98.0,30.0,12.0,18.0,9.0,SEDANG
806,77.0,105.0,31.0,14.0,18.0,11.0,TIDAK SEHAT
807,69.0,92.0,31.0,17.0,18.0,11.0,SEDANG
808,83.0,110.0,31.0,18.0,20.0,10.0,TIDAK SEHAT
809,83.0,107.0,31.0,17.0,20.0,15.0,TIDAK SEHAT
810,84.0,106.0,31.0,16.0,22.0,9.0,TIDAK SEHAT
811,78.0,95.0,31.0,15.0,16.0,8.0,SEDANG
812,82.0,95.0,30.0,18.0,10.0,6.0,SEDANG
813,41.0,55.0,30.0,12.0,9.0,8.0,SEDANG
814,71.0,88.0,30.0,15.0,11.0,8.0,SEDANG
815,81.0,104.0,31.0,13.0,22.0,9.0,TIDAK SEHAT
816,81.0,104.0,31.0,14.0,20.0,8.0,TIDAK SEHAT
817,77.0,94.0,31.0,11.0,18.0,7.0,SEDANG
818,77.0,100.0,31.0,11.0,19.0,10.0,SEDANG
819,91.0,110.0,31.0,13.0,22.0,9.0,TIDAK SEHAT
820,41.0,64.0,23.0,17.0,64.0,13.0,SEDANG
821,53.0,81.0,23.0,17.0,62.0,13.0,SEDANG
822,58.0,95.0,24.0,18.0,75.0,17.0,SEDANG
823,62.0,97.0,26.0,22.0,57.0,27.0,SEDANG
824,60.0,97.0,26.0,23.0,58.0,21.0,SEDANG
825,56.0,86.0,26.0,18.0,60.0,17.0,SEDANG
826,68.0,111.0,28.0,21.0,54.0,26.0,TIDAK SEHAT
827,65.0,107.0,28.0,20.0,58.0,23.0,TIDAK SEHAT
828,66.0,109.0,28.0,22.0,60.0,20.0,TIDAK SEHAT
829,54.0,80.0,26.0,16.0,61.0,12.0,SEDANG
830,52.0,82.0,25.0,17.0,65.0,14.0,SEDANG
831,56.0,87.0,25.0,23.0,53.0,16.0,SEDANG
832,45.0,72.0,24.0,16.0,59.0,11.0,SEDANG
833,60.0,101.0,25.0,23.0,61.0,22.0,TIDAK SEHAT
834,59.0,91.0,26.0,23.0,57.0,21.0,SEDANG
835,58.0,95.0,26.0,20.0,58.0,15.0,SEDANG
836,57.0,96.0,27.0,20.0,63.0,17.0,SEDANG
837,62.0,101.0,29.0,21.0,65.0,21.0,TIDAK SEHAT
838,68.0,108.0,28.0,21.0,66.0,21.0,TIDAK SEHAT
839,66.0,80.0,24.0,20.0,60.0,17.0,SEDANG
840,57.0,83.0,24.0,22.0,57.0,20.0,SEDANG
841,29.0,53.0,25.0,18.0,57.0,17.0,SEDANG
842,62.0,94.0,31.0,26.0,57.0,22.0,SEDANG
843,60.0,95.0,30.0,22.0,65.0,20.0,SEDANG
844,66.0,110.0,27.0,26.0,64.0,26.0,TIDAK SEHAT
845,56.0,87.0,26.0,17.0,62.0,14.0,SEDANG
846,54.0,95.0,28.0,18.0,66.0,19.0,SEDANG
847,62.0,111.0,28.0,21.0,69.0,22.0,TIDAK SEHAT
848,33.0,86.0,39.0,19.0,47.0,14.0,SEDANG
849,39.0,79.0,38.0,18.0,42.0,13.0,SEDANG
850,30.0,88.0,40.0,19.0,40.0,14.0,SEDANG
851,22.0,88.0,38.0,20.0,47.0,16.0,SEDANG
852,37.0,98.0,38.0,19.0,57.0,14.0,SEDANG
853,30.0,109.0,39.0,20.0,62.0,14.0,TIDAK SEHAT
854,21.0,92.0,37.0,19.0,55.0,14.0,SEDANG
855,37.0,85.0,37.0,21.0,42.0,18.0,SEDANG
856,47.0,109.0,35.0,28.0,44.0,24.0,TIDAK SEHAT
857,35.0,79.0,35.0,26.0,42.0,21.0,SEDANG
858,27.0,80.0,35.0,23.0,42.0,21.0,SEDANG
