,pm10,pm25,so2,co,o3,no2,categori
98,47.0,69.0,52.0,12.0,25.0,32.0,SEDANG
99,54.0,84.0,52.0,11.0,22.0,43.0,SEDANG
100,56.0,82.0,51.0,24.0,17.0,38.0,SEDANG
101,20.0,50.0,54.0,11.0,12.0,47.0,SEDANG
102,51.0,68.0,58.0,16.0,18.0,53.0,SEDANG
103,56.0,77.0,61.0,11.0,31.0,43.0,SEDANG
104,44.0,54.0,56.0,11.0,19.0,27.0,SEDANG
105,27.0,39.0,57.0,11.0,14.0,52.0,SEDANG
106,35.0,54.0,57.0,10.0,16.0,28.0,SEDANG
107,37.0,51.0,57.0,8.0,16.0,22.0,SEDANG
108,52.0,67.0,58.0,12.0,14.0,32.0,SEDANG
109,64.0,89.0,52.0,9.0,13.0,30.0,SEDANG
110,53.0,93.0,52.0,4.0,12.0,28.0,SEDANG
111,52.0,57.0,52.0,6.0,12.0,27.0,SEDANG
112,30.0,53.56080093201692,112.0,20.0,8.0,77.0,TIDAK SEHAT
113,22.0,54.0,46.0,15.0,24.0,44.0,SEDANG
114,49.0,68.0,46.0,12.0,38.0,36.0,SEDANG
115,52.0,77.0,45.0,14.0,34.0,44.0,SEDANG
116,49.0,52.0,46.0,10.0,27.0,32.0,SEDANG
117,50.0,62.0,48.0,13.0,25.0,31.0,SEDANG
118,49.0,66.0,49.0,10.0,34.0,41.0,SEDANG
119,51.0,58.0,47.0,10.0,24.0,36.0,SEDANG
120,30.0,26.0,45.0,8.0,18.0,21.0,BAIK
121,34.0,53.0,46.0,8.0,25.0,25.0,SEDANG
122,39.0,49.0,45.0,6.0,20.0,20.0,BAIK
123,55.0,72.0,47.0,10.0,21.0,30.0,SEDANG
124,41.0,47.0,48.0,10.0,25.0,24.0,BAIK
125,45.0,54.0,51.0,8.0,16.0,30.0,SEDANG
126,45.0,58.0,47.0,11.0,14.0,27.0,SEDANG
127,19.0,31.0,46.0,7.1094446798174875,12.0,20.0,BAIK
128,26.0,28.0,44.0,8.528621337433842,17.0,17.0,BAIK
129,36.0,50.0,46.0,6.0,15.0,14.0,BAIK
130,24.0,26.0,44.0,3.0,17.0,11.0,BAIK
131,20.0,38.0,44.0,5.0,15.0,12.0,BAIK
132,31.0,37.0,45.0,8.0,14.0,14.0,BAIK
133,43.0,56.0,48.0,11.0,14.0,22.0,SEDANG
134,39.0,59.0,48.0,9.0,17.0,26.0,SEDANG
135,21.0,18.0,45.0,7.643190767128027,17.0,22.0,BAIK
136,35.0,53.0,45.0,13.0,17.0,30.0,SEDANG
137,30.0,47.240497992442506,44.0,8.0,17.0,28.0,BAIK
138,39.0,67.0,46.0,31.0,14.0,28.0,SEDANG
139,25.0,49.0,47.0,19.0,24.0,30.0,BAIK
140,67.0,103.0,34.0,18.0,26.0,29.32784871130525,TIDAK SEHAT
141,53.0,74.0,35.0,9.0,27.0,22.06847938660813,SEDANG
142,43.0,56.0,42.82337925077387,7.0,25.0,20.0,SEDANG
143,42.0,62.0,57.0,10.0,22.0,20.0,SEDANG
144,38.0,55.0,56.0,14.0,16.0,45.0,SEDANG
145,46.0,68.0,58.0,9.0,29.0,26.0,SEDANG
146,59.0,87.0,59.0,14.0,34.0,29.0,SEDANG
147,44.0,55.0,57.0,11.0,19.0,23.0,SEDANG
148,29.0,50.0,58.0,6.0,14.0,32.0,SEDANG
149,35.0,51.0,59.0,8.0,12.0,44.0,SEDANG
150,47.0,58.0,57.0,15.0,12.0,44.0,SEDANG
151,21.0,32.0,56.0,8.0,12.0,21.0,SEDANG
152,25.0,32.0,54.0,7.0,13.0,18.0,SEDANG
153,31.0,48.0,54.0,8.0,13.0,18.0,SEDANG
154,21.0,30.0,53.0,6.0,13.0,11.0,SEDANG
155,29.0,38.0,53.0,6.0,12.0,14.0,SEDANG
156,29.0,41.0,53.0,7.0,13.0,17.0,SEDANG
157,40.0,58.0,55.0,9.0,14.0,38.0,SEDANG
158,55.0,69.0,59.0,7.0,14.0,43.0,SEDANG
159,24.0,23.0,53.0,5.0,16.0,17.0,SEDANG
160,39.0,55.0,54.0,15.0,14.0,47.0,SEDANG
161,37.0,51.0,53.0,12.0,13.0,48.0,SEDANG
162,51.0,64.0,54.0,17.0,13.0,68.0,SEDANG
163,25.0,44.0,53.0,8.0,19.0,26.0,SEDANG
164,74.0,110.0,10.0,20.0,24.0,10.0,TIDAK SEHAT
165,56.0,80.0,12.0,11.0,27.0,13.0,SEDANG
166,54.0,66.0,13.0,7.0,18.0,14.0,SEDANG
167,53.0,72.0,13.0,10.0,20.0,15.0,SEDANG
168,61.0,62.0,10.0,14.0,17.0,19.0,SEDANG
169,51.0,70.0,11.0,10.0,31.0,16.0,SEDANG
170,62.0,84.0,10.0,15.0,23.0,19.0,SEDANG
171,55.0,76.0,10.0,22.0,21.0,20.0,SEDANG
172,61.0,84.0,12.0,14.0,17.0,14.0,SEDANG
173,70.0,102.0,12.0,11.0,26.0,13.0,TIDAK SEHAT
174,63.0,81.0,11.0,16.0,17.0,19.0,SEDANG
175,37.0,49.0,10.0,11.0,10.0,8.0,BAIK
176,45.0,62.0,10.0,10.0,15.0,13.0,SEDANG
177,50.0,64.0,11.0,9.0,16.0,10.0,SEDANG
178,58.0,78.0,10.0,12.0,15.0,15.0,SEDANG
179,49.0,62.0,11.0,6.0,11.0,9.0,SEDANG
180,42.0,56.0,10.0,7.0,8.0,9.0,SEDANG
181,53.0,67.0,13.0,13.0,6.0,12.0,SEDANG
182,30.0,36.0,24.0,7.0,6.0,8.0,BAIK
183,28.0,46.0,24.0,8.0,7.0,8.0,BAIK
184,50.0,64.0,24.0,8.0,7.0,6.0,SEDANG
185,31.0,50.0,24.0,4.0,7.0,3.0,BAIK
186,36.0,58.0,24.0,5.0,9.0,6.0,SEDANG
187,46.0,61.0,24.0,6.0,7.0,6.0,SEDANG
188,46.0,62.0,25.0,7.0,12.0,8.0,SEDANG
189,58.0,77.0,27.0,7.0,16.0,14.0,SEDANG
190,38.0,47.0,24.0,5.0,11.0,10.0,BAIK
191,43.0,59.0,24.0,16.0,10.0,14.0,SEDANG
192,51.0,63.0,24.0,14.0,11.0,13.0,SEDANG
193,71.0,82.0,24.0,23.0,13.0,12.0,SEDANG
194,40.0,57.0,25.0,7.0,17.0,15.0,SEDANG
195,58.0,99.0,40.0,18.0,55.0,12.0,SEDANG
196,40.0,68.0,40.0,9.0,65.0,11.0,SEDANG
197,32.0,54.0,39.0,7.0,63.0,10.0,SEDANG
198,38.0,59.0,46.0,10.0,55.0,12.0,SEDANG
199,30.0,52.0,37.0,15.0,48.0,15.0,SEDANG
200,32.0,64.0,39.0,12.0,61.0,14.0,SEDANG
201,53.0,86.0,40.0,23.0,62.0,21.841255523836264,SEDANG
202,37.0,55.0,38.0,12.0,43.0,17.745644075859936,SEDANG
203,54.0,81.0,21.0,18.0,35.0,3.0,SEDANG
204,43.0,73.0,18.0,11.0,70.0,7.0,SEDANG
205,37.0,60.0,12.0,57.0,51.0,6.0,SEDANG
206,28.0,20.0,11.0,6.0,43.0,4.0,BAIK
207,25.0,52.0,21.0,8.0,38.0,6.0,SEDANG
208,30.0,50.0,19.0,8.0,58.0,6.0,SEDANG
209,51.0,81.0,24.0,11.0,55.0,11.0,SEDANG
210,23.0,49.0,24.0,5.0,43.0,6.0,BAIK
