pm10,pm25,so2,co,o3,no2,categori
37,49,10,11,10,8,BAIK
45,62,10,10,15,13,SEDANG
50,64,11,9,16,10,SEDANG
58,78,10,12,15,15,SEDANG
49,62,11,6,11,9,SEDANG
42,56,10,7,8,9,SEDANG
53,67,13,13,6,12,SEDANG
30,36,24,7,6,8,BAIK
28,46,24,8,7,8,BAIK
50,64,24,8,7,6,SEDANG
31,50,24,4,7,3,BAIK
36,58,24,5,9,6,SEDANG
46,61,24,6,7,6,SEDANG
46,62,25,7,12,8,SEDANG
58,77,27,7,16,14,SEDANG
38,47,24,5,11,10,BAIK
43,59,24,16,10,14,SEDANG
51,63,24,14,11,13,SEDANG
71,82,24,23,13,12,SEDANG
40,57,25,7,17,15,SEDANG
58,99,40,18,55,12,SEDANG
40,68,40,9,65,11,SEDANG
32,54,39,7,63,10,SEDANG
38,59,46,10,55,12,SEDANG
30,52,37,15,48,15,SEDANG
32,64,39,12,61,14,SEDANG
53,86,40,23,62,,SEDANG
37,55,38,12,43,,SEDANG
54,81,21,18,35,3,SEDANG
43,73,18,11,70,7,SEDANG
37,60,12,57,51,6,SEDANG
28,20,11,6,43,4,BAIK
25,52,21,8,38,6,SEDANG
30,50,19,8,58,6,SEDANG
51,81,24,11,55,11,SEDANG
23,49,24,5,43,6,BAIK
34,57,39,7,47,8,SEDANG
37,56,25,8,39,8,SEDANG
16,29,19,6,46,6,BAIK
17,28,33,7,23,6,BAIK
26,51,37,10,18,5,SEDANG
14,23,31,9,19,2,BAIK
17,40,31,9,17,3,BAIK
23,44,32,10,17,3,BAIK
36,60,38,12,19,4,SEDANG
27,54,37,10,26,9,SEDANG
25,28,30,8,35,12,BAIK
46,66,31,18,34,16,SEDANG
30,53,29,14,35,14,SEDANG
40,63,29,15,37,16,SEDANG
22,49,33,9,40,17,BAIK
65,89,14,54,13,,SEDANG
52,73,14,38,17,,SEDANG
47,57,14,31,9,,SEDANG
54,73,14,34,13,,SEDANG
39,58,15,46,14,,SEDANG
45,67,15,34,22,3,SEDANG
54,70,15,70,14,24,SEDANG
51,72,15,68,20,15,SEDANG
55,67,15,46,13,22,SEDANG
47,67,34,11,20,42,SEDANG
58,80,35,15,17,43,SEDANG
37,48,43,8,3,56,SEDANG
50,66,44,7,11,55,SEDANG
42,52,43,10,10,57,SEDANG
57,78,43,17,5,54,SEDANG
47,60,44,7,6,57,SEDANG
50,65,46,8,5,,SEDANG
56,76,49,13,6,23,SEDANG
32,34,45,6,9,76,SEDANG
32,45,44,7,8,66,SEDANG
81,112,27,26,10,11,TIDAK SEHAT
70,97,27,20,15,8,SEDANG
49,70,27,30,13,11,SEDANG
86,116,28,34,11,9,TIDAK SEHAT
61,92,28,28,14,12,SEDANG
60,83,28,19,19,7,SEDANG
55,76,28,20,19,9,SEDANG
53,77,28,20,19,11,SEDANG
73,96,28,33,14,10,SEDANG
45,62,28,17,15,8,SEDANG
31,51,28,13,12,5,SEDANG
44,61,28,23,9,7,SEDANG
37,60,28,15,13,6,SEDANG
31,54,28,18,10,6,SEDANG
43,64,28,16,11,6,SEDANG
51,76,28,17,19,8,SEDANG
52,67,28,21,14,10,SEDANG
44,64,28,21,12,9,SEDANG
69,95,29,22,9,7,SEDANG
58,76,28,18,10,6,SEDANG
64,83,29,26,9,7,SEDANG
63,84,29,23,11,6,SEDANG
53,74,28,21,14,8,SEDANG
58,79,28,13,12,8,SEDANG
56,71,29,12,13,6,SEDANG
62,80,29,18,10,3,SEDANG
60,80,29,24,14,3,SEDANG
60,81,29,13,18,5,SEDANG
70,91,29,16,18,6,SEDANG
64,104,22,30,76,28,TIDAK SEHAT
72,120,23,35,69,32,TIDAK SEHAT
58,95,24,24,74,27,SEDANG
51,77,24,28,62,24,SEDANG
74,125,22,31,69,27,TIDAK SEHAT
55,83,24,22,55,15,SEDANG
52,77,24,20,71,12,SEDANG
45,73,25,18,77,13,SEDANG
41,68,27,15,60,10,SEDANG
57,85,24,25,62,17,SEDANG
35,58,24,17,62,15,SEDANG
25,51,22,14,74,8,SEDANG
35,61,24,23,62,16,SEDANG
28,55,22,15,79,8,SEDANG
30,54,23,20,62,14,SEDANG
23,53,25,17,60,11,SEDANG
41,71,23,18,77,14,SEDANG
44,69,23,21,67,18,SEDANG
34,61,25,18,57,19,SEDANG
57,90,27,25,59,19,SEDANG
68,60,23,20,67,15,SEDANG
56,85,24,26,56,22,SEDANG
56,75,16,21,29,44,SEDANG
53,79,12,23,32,41,SEDANG
53,66,54,23,12,76,SEDANG
50,62,55,10,20,42,SEDANG
35,41,54,6,20,31,SEDANG
39,55,54,8,22,32,SEDANG
30,54,54,9,20,31,SEDANG
31,51,54,5,19,19,SEDANG
31,46,55,6,19,25,SEDANG
24,44,54,4,20,12,SEDANG
33,45,55,6,13,24,SEDANG
63,86,55,30,14,85,SEDANG
46,61,54,10,19,37,SEDANG
33,55,54,3,23,14,SEDANG
41,58,54,5,22,22,SEDANG
37,50,54,4,23,21,SEDANG
36,44,54,10,15,36,SEDANG
26,32,54,6,18,18,SEDANG
45,62,14,30,23,37,SEDANG
43,64,17,22,15,37,SEDANG
33,51,17,20,22,27,SEDANG
34,54,14,19,20,25,SEDANG
24,43,13,19,20,22,BAIK
25,38,15,17,17,21,BAIK
23,35,14,17,20,21,BAIK
19,34,13,15,22,15,BAIK
29,30,17,17,19,21,BAIK
53,72,17,27,20,35,SEDANG
35,47,12,17,14,21,BAIK
31,50,11,13,21,19,BAIK
42,60,14,15,19,25,SEDANG
36,52,12,17,17,29,SEDANG
32,44,15,16,22,22,BAIK
23,27,13,13,23,20,BAIK
24,37,14,12,21,16,BAIK
